question,question_type,contexts,ground_truth
One Pieceの作者は？,単純質問,,尾田栄一郎
One Pieceのジャンルは？,単純質問,,少年漫画・海賊・冒険ファンタジー・バトル
劇場版「ONE PIECE FILM GOLD」が公開された年月日は？,単純質問,"""- 2016年（平成28年）
    - 7月23日 - 劇場版第13作『ONE PIECE FILM GOLD』が公開。""",2016年7月23日
そげキングとは誰のことですか？,単純質問,"""仮面を被り謎のヒーロー「そげキング」と名乗るウソップの姿もあった。""",ウソップ
「ONE PIECE」と「こちら葛飾区亀有公園前派出所」はどちらの連載期間のほうが長いですか？,比較質問,"""2024年11月の時点で単行本は第110巻まで刊行されており、『週刊少年ジャンプ』歴代作品の中では『こちら葛飾区亀有公園前派出所』（1976年 - 2016年）に次ぐ長期連載となっている。""",こちら葛飾区亀有公園前派出所
リトルガーデン編とエニエス・ロビー編はどちらが先のストーリーですか？,比較質問,"""リトルガーデン編（13巻 - 15巻）"", ""エニエス・ロビー編（39巻 - 46巻）""",リトルガーデン編
チョッパーとブルックはどちらが先に仲間になりましたか？,比較質問,"""ルフィ達はチョッパーと共闘してワポルを撃退し、船医チョッパーを仲間に迎える。"",""戦闘終結後、音楽家ブルックを仲間に加える。""",チョッパー
ルフィは誰の影響を受けて海賊になることを決意しましたか？,推測/条件付き質問,"""「東の海（イーストブルー）」のフーシャ村に住む少年モンキー・D・ルフィは、村に滞在していた海賊〝赤髪のシャンクス〟と親しくなり、海賊への憧れを募らせる。ある日ルフィは「ゴムゴムの実」という悪魔の実を食べ、一生泳げない体になる代わりに、全身が伸び縮みするゴム人間となった。それからしばらくして、ルフィはシャンクスを貶める山賊たちから怒りを買い、海に投げ込まれてしまう。溺れかけ、巨大魚に食われそうになったルフィを、シャンクスは左腕を犠牲にして助け出した。ルフィは、村を去る間際のシャンクスからトレードマークの麦わら帽子を託され、将来立派な海賊になって再会することを約束する。""",赤髪のシャンクス
ルフィの最初の仲間は誰？,推測/条件付き質問,"""ゾロを仲間に加えたルフィは""",ゾロ
ルフィの3番目の仲間は誰？,推測/条件付き質問,"""ルフィは数々の兵器を繰り出すクリークとの激闘を制し、新たに料理人サンジを仲間に加える。""",サンジ
劇場版「ONE PIECE FILM RED」の前に公開された劇場版作品は？,推測/条件付き質問,"""- 2019年（令和元年）
    - 8月9日 - 劇場版第14作『ONE PIECE STAMPEDE』が公開。""",ONE PIECE STAMPEDE
麦わらの一味には何人が所属していますか？,集計,,10
頂上戦争編には何個小編がありますか？,集計,"""シャボンディ諸島編（50巻 - 53巻）"", ""女ヶ島編（53巻 - 54巻）"", ""インペルダウン編（54巻 - 56巻）"", ""マリンフォード編（56巻 - 61巻）""",4
